"transaction_date","post_date","type","details","amount","currency"
"2025-09-01","2025-09-02","Purchase","LONDON DRUGS 82","88.87","CAD"
"2025-09-01","2025-09-02","Purchase","LONDON DRUGS 82","78.39","CAD"
"2025-09-01","2025-09-02","Purchase","SAL Y LIMON MEXICAN CU","13.65","CAD"
"2025-09-01","2025-09-02","Purchase","APPLE.COM/BILL","14.55","CAD"
"2025-09-01","2025-09-02","Purchase","AMAZON.CA*9E6OX4AB3","15.11","CAD"
"2025-09-01","2025-09-02","Purchase","THE FIRST RAVIOLI STORE","2.5","CAD"
"2025-09-03","2025-09-04","Purchase","SHINE AUTO WASH","16.8","CAD"
"2025-09-03","2025-09-04","Purchase","CACTUS CLUB COAL HARBO","208.05","CAD"
"2025-09-05","2025-09-06","Purchase","APPLE.COM/BILL","27.99","CAD"
"2025-09-05","2025-09-06","Purchase","BC LIQUOR #111","36.54","CAD"
"2025-09-06","2025-09-06","Purchase","AMAZON.CA PRIME MEMBER","11.19","CAD"
"2025-09-06","2025-09-06","Purchase","TST-TACOFINO - FOOD TR","9.81","CAD"
"2025-09-06","2025-09-06","Purchase","TST-TACOFINO - FOOD TR","9.81","CAD"
"2025-09-06","2025-09-07","Purchase","COB - SWANGARD STADIUM","16.5","CAD"
"2025-09-06","2025-09-08","Purchase","TICKETMASTER CANADA","73.68","CAD"
"2025-09-07","2025-09-08","Purchase","BELGIAN FRIES","21.84","CAD"
"2025-09-07","2025-09-08","Purchase","CITY OF VAN-PARKS AN TROU","5.83","CAD"
"2025-09-07","2025-09-08","Purchase","THE FIRST RAVIOLI STORE","5.97","CAD"
"2025-09-08","2025-09-08","Purchase","AMZN MKTP CA*HD92W2FT3","18.67","CAD"
"2025-09-08","2025-09-08","Purchase","CONTINENTAL COFFEE COMM","47.0","CAD"
"2025-09-08","2025-09-09","Purchase","LYFT *RIDE MON 8PM","10.5","CAD"
"2025-09-10","2025-09-10","Purchase","LYFT *RIDE WED 2PM","22.99","CAD"
"2025-09-10","2025-09-10","Purchase","RED HORSES GALLERY","30.19","CAD"
"2025-09-10","2025-09-10","Purchase","SQ *NEMESIS COFFEE POLYGO","6.6","CAD"
"2025-09-10","2025-09-11","Purchase","MARKETPLACE IGA #49","4.93","CAD"
"2025-09-09","2025-09-11","Purchase","SHOPPERS DRUG MART #28","26.07","CAD"
"2025-09-11","2025-09-11","Purchase","SQ *FC HEADLAND","16.38","CAD"
"2025-09-11","2025-09-12","Purchase","BLACK BEAN CAFE","41.32","CAD"
